song_id,language,singer,valence,arousal,genre
hindi_Tum_Hi_Ho,Hindi,Arijit Singh,0.8,0.4,BOLLYWOOD_ROMANTIC
hindi_Channa_Mereya,Hindi,Arijit Singh,0.2,0.3,BOLLYWOOD_SAD
hindi_Dil_Diyan_Gallan,Hindi,Atif Aslam,0.8,0.4,BOLLYWOOD_ROMANTIC
hindi_Agar_Tum_Saath_Ho,Hindi,Alka Yagnik & Arijit Singh,0.3,0.3,BOLLYWOOD_ROMANTIC
hindi_Bekhayali,Hindi,Sachet Tandon,0.3,0.7,BOLLYWOOD_ROMANTIC
hindi_Tum_Mile,Hindi,Neeraj Shridhar,0.7,0.4,BOLLYWOOD_ROMANTIC
hindi_Kabira,Hindi,Tochi Raina & Rekha Bhardwaj,0.5,0.5,BOLLYWOOD_FOLK
hindi_Sun_Saathiya,Hindi,Priya Saraiya & Divya Kumar,0.75,0.4,BOLLYWOOD_ROMANTIC
hindi_Ae_Dil_Hai_Mushkil,Hindi,Arijit Singh,0.4,0.5,BOLLYWOOD_ROMANTIC
hindi_Tera_Hone_Laga_Hoon,Hindi,Atif Aslam,0.9,0.6,BOLLYWOOD_ROMANTIC
hindi_Khairiyat,Hindi,Arijit Singh,0.3,0.4,BOLLYWOOD_ROMANTIC
hindi_Saibo,Hindi,Shreya Ghoshal & Tochi Raina,0.8,0.3,ALTERNATIVE
hindi_Kun_Faya_Kun,Hindi,"A.R. Rahman, Javed Ali, Mohit Chauhan",0.6,0.3,BOLLYWOOD_CLASSICAL
hindi_Allah_Ke_Bande,Hindi,Kailash Kher,0.7,0.4,BOLLYWOOD_POP
hindi_Badtameez_Dil,Hindi,Benny Dayal,0.95,0.9,BOLLYWOOD_POP
hindi_Zinda,Hindi,Siddharth Mahadevan,0.7,0.9,BOLLYWOOD_POP
hindi_Raabta,Hindi,Arijit Singh,0.85,0.5,BOLLYWOOD_ROMANTIC
hindi_Kal_Ho_Naa_Ho,Hindi,Sonu Nigam,0.3,0.4,BOLLYWOOD_ROMANTIC
hindi_Tera_Ban_Jaunga,Hindi,Akhil Sachdeva & Tulsi Kumar,0.85,0.5,BOLLYWOOD_ROMANTIC
hindi_Jeene_Laga_Hoon,Hindi,Atif Aslam & Shreya Ghoshal,0.9,0.5,BOLLYWOOD_ROMANTIC
hindi_Phir_Le_Aya_Dil,Hindi,Rekha Bhardwaj,0.3,0.3,BOLLYWOOD_ROMANTIC
hindi_Shayad,Hindi,Arijit Singh,0.85,0.5,BOLLYWOOD_ROMANTIC
hindi_Janam_Janam,Hindi,Arijit Singh & Antara Mitra,0.7,0.6,BOLLYWOOD_ROMANTIC
hindi_Galliyan,Hindi,Ankit Tiwari,0.8,0.5,BOLLYWOOD_ROMANTIC
hindi_Samjhawan,Hindi,Arijit Singh & Shreya Ghoshal,0.5,0.4,BOLLYWOOD_ROMANTIC
hindi_Pee_Loon,Hindi,Mohit Chauhan,0.9,0.5,BOLLYWOOD_ROMANTIC
hindi_Mast_Magan,Hindi,Arijit Singh & Chinmayi,0.85,0.5,BOLLYWOOD_ROMANTIC
hindi_Tera_Yaar_Hoon_Main,Hindi,Arijit Singh,0.6,0.5,BOLLYWOOD_POP
hindi_Sooraj_Dooba_Hain,Hindi,Arijit Singh,0.95,0.85,BOLLYWOOD_POP
hindi_Ghungroo,Hindi,Arijit Singh & Shilpa Rao,0.9,0.8,BOLLYWOOD_POP
hindi_Nashe_Si_Chadh_Gayi,Hindi,Arijit Singh,0.85,0.9,BOLLYWOOD_POP
hindi_Desi_Girl,Hindi,"Shankar Mahadevan, Sunidhi Chauhan",0.9,0.8,BOLLYWOOD_POP
hindi_Mitwa,Hindi,Shankar-Ehsaan-Loy,0.8,0.5,BOLLYWOOD_FOLK
hindi_Rang_De_Basanti,Hindi,Daler Mehndi & K.S. Chithra,0.8,0.85,BOLLYWOOD_POP
hindi_Vande_Mataram,Hindi,A.R. Rahman,0.7,0.6,POP
marathi_Zingaat,Marathi,Ajay-Atul,0.9,0.9,EDM
marathi_Yad_Lagla,Marathi,Ajay Gogavale,0.85,0.7,POP
english_Shake_It_Off,English,Taylor Swift,0.95,0.85,POP
english_Royals,English,Lorde,0.6,0.4,POP
english_Dark_Horse,English,Katy Perry ft. Juicy J,0.7,0.8,POP
english_Love_Yourself,English,Justin Bieber,0.4,0.3,POP
english_Firework,English,Katy Perry,0.9,0.8,POP
english_Cheap_Thrills,English,Sia,0.9,0.8,POP
english_Problem,English,Ariana Grande ft. Iggy Azalea,0.7,0.9,POP
english_Love_Me_Like_You_Do,English,Ellie Goulding,0.8,0.5,POP
english_Hall_of_Fame,English,The Script ft. will.i.am,0.8,0.85,ROCK
english_We_Dont_Talk_Anymore,English,Charlie Puth ft. Selena Gomez,0.4,0.5,POP
english_Roar,English,Katy Perry,0.9,0.85,POP
english_Stressed_Out,English,Twenty One Pilots,0.4,0.6,ALTERNATIVE
english_Sugar,English,Maroon 5,0.85,0.7,POP
english_Locked_Out_of_Heaven,English,Bruno Mars,0.9,0.85,ROCK
english_Dance_Monkey,English,Tones and I,0.85,0.8,POP
english_Don't_Speak,English,No Doubt,0.35,0.45,ROCK
english_Bleeding_Love,English,Leona Lewis,0.45,0.5,POP
english_Chasing_Cars,English,Snow Patrol,0.4,0.3,ALTERNATIVE
english_I_Will_Always_Love_You,English,Whitney Houston,0.3,0.4,POP
english_Toxic,English,Britney Spears,0.75,0.8,POP
english_With_or_Without_You,English,U2,0.5,0.4,ALTERNATIVE
english_Every_Breath_You_Take,English,The Police,0.5,0.4,ROCK
english_Back_to_Black,English,Amy Winehouse,0.3,0.5,RNB_SOUL
english_Viva_Forever,English,Spice Girls,0.6,0.4,POP
english_Dream_On,English,Aerosmith,0.5,0.7,ROCK
english_Karma_Police,English,Radiohead,0.35,0.5,ALTERNATIVE
english_Everybody_Hurts,English,R.E.M.,0.25,0.3,ALTERNATIVE
english_No_Tears_Left_To_Cry,English,Ariana Grande,0.8,0.7,POP
english_Stronger_(What_Doesn't_Kill_You),English,Kelly Clarkson,0.7,0.85,POP
english_Creep,English,Radiohead,0.2,0.5,ALTERNATIVE
english_I_Don’t_Want_to_Miss_a_Thing,English,Aerosmith,0.8,0.6,ROCK
english_Take_On_Me,English,a-ha,0.9,0.7,POP
english_Time_After_Time,English,Cyndi Lauper,0.7,0.4,POP
english_Africa,English,Toto,0.85,0.75,ROCK
english_Iris,English,Goo Goo Dolls,0.6,0.5,ALTERNATIVE
english_Because_of_You,English,Kelly Clarkson,0.3,0.5,POP
english_Like_a_Rolling_Stone,English,Bob Dylan,0.45,0.65,COUNTRY_FOLK
english_Bridge_Over_Troubled_Water,English,Simon & Garfunkel,0.4,0.35,POP
english_Nothing_Else_Matters,English,Metallica,0.25,0.5,METAL
english_Everybody_Wants_to_Rule_the_World,English,Tears for Fears,0.75,0.55,POP
english_Eye_of_the_Tiger,English,Survivor,0.75,0.95,ROCK
english_The_Sound_of_Silence,English,Simon & Garfunkel,0.2,0.25,COUNTRY_FOLK
english_Under_Pressure,English,Queen & David Bowie,0.55,0.7,ROCK
english_Killing_Me_Softly_With_His_Song,English,Fugees,0.4,0.45,RNB_SOUL
english_Man_in_the_Mirror,English,Michael Jackson,0.65,0.55,POP
english_The_Winner_Takes_It_All,English,ABBA,0.3,0.4,POP
english_Every_Rose_Has_Its_Thorn,English,Poison,0.35,0.45,METAL
english_Tears_in_Heaven,English,Eric Clapton,0.15,0.25,POP
english_She_Will_Be_Loved,English,Maroon 5,0.55,0.45,ROCK
english_Seven_Nation_Army,English,The White Stripes,0.55,0.7,ROCK
english_Highway_to_Hell,English,AC/DC,0.65,0.95,ROCK
english_Patience,English,Guns N’ Roses,0.35,0.35,ROCK
english_Imagine,English,John Lennon,0.75,0.25,ROCK
hindi_Chaiyya_Chaiyya,Hindi,"Sukhwinder Singh, Sapna Awasthi",0.8,0.7,BOLLYWOOD_CLASSICAL
hindi_Lag_Jaa_Gale,Hindi,Lata Mangeshkar,0.3,0.4,BOLLYWOOD_ROMANTIC
hindi_Aap_Jaisa_Koi,Hindi,Nazia Hassan,0.75,0.65,BOLLYWOOD_POP
hindi_Sandese_Aate_Hain,Hindi,"Sonu Nigam, Roop Kumar Rathod",0.5,0.6,BOLLYWOOD_POP
hindi_Gallan_Goodiyaan,Hindi,"Yashita Sharma, Manish Kumar Tipu, Farhan Akhtar, Shankar Mahadevan, Sukhwinder Singh",0.9,0.8,BOLLYWOOD_POP
hindi_Tum_Se_Hi,Hindi,Mohit Chauhan,0.8,0.5,BOLLYWOOD_ROMANTIC
hindi_Kalank_Title_Track,Hindi,Arijit Singh,0.7,0.6,BOLLYWOOD_CLASSICAL
english_Bohemian_Rhapsody,English,Queen,0.8,0.7,ROCK
english_Someone_You_Loved,English,Lewis Capaldi,0.4,0.3,POP
english_Blinding_Lights,English,The Weeknd,0.9,0.8,POP
hindi_Ajeeb_Dastan_Hai_Yeh,Hindi,Lata Mangeshkar,0.4,0.3,BOLLYWOOD_ROMANTIC
hindi_Jaan_Pehechan_Ho,Hindi,Mohammed Rafi,0.7,0.8,BOLLYWOOD_POP
hindi_Hai_Rama,Hindi,"Hariharan, Swarnalatha",0.6,0.7,BOLLYWOOD_POP
hindi_Chadti_Jawani_Meri_Chaal_Mastani,Hindi,"Mohammed Rafi, Lata Mangeshkar",0.8,0.9,BOLLYWOOD_POP
hindi_Mujhe_Budhha_Mil_Gaya,Hindi,Lata Mangeshkar,0.5,0.4,BOLLYWOOD_POP
hindi_Tere_Bina_Zindagi_Se,Hindi,"Lata Mangeshkar, Kishore Kumar",0.3,0.2,BOLLYWOOD_ROMANTIC
hindi_Piya_Tu_Ab_To_Aaja,Hindi,Asha Bhosle,0.8,0.9,BOLLYWOOD_POP
hindi_Kabhi_Kabhi_Mere_Dil_Mein,Hindi,Mukesh,0.4,0.3,BOLLYWOOD_ROMANTIC
hindi_Yeh_Sham_Mastani,Hindi,Kishore Kumar,0.6,0.5,BOLLYWOOD_ROMANTIC
hindi_Mere_Sapno_Ki_Rani,Hindi,Kishore Kumar,0.7,0.6,BOLLYWOOD_ROMANTIC
hindi_Lag_Ja_Gale,Hindi,Lata Mangeshkar,0.2,0.3,BOLLYWOOD_ROMANTIC
hindi_O_Haseena_Zulfonwali,Hindi,"Asha Bhosle, Mohammed Rafi",0.8,0.9,BOLLYWOOD_POP
hindi_Ae_Mere_Humsafar,Hindi,"Udit Narayan, Alka Yagnik",0.5,0.4,BOLLYWOOD_ROMANTIC
hindi_Chura_Liya_Hai_Tumne_Jo_Dil_Ko,Hindi,"Asha Bhosle, Mohammed Rafi",0.6,0.5,BOLLYWOOD_ROMANTIC
hindi_Tere_Bina,Hindi,"A.R. Rahman, Chinmayi",0.5,0.6,BOLLYWOOD_CLASSICAL
hindi_Pehla_Nasha,Hindi,"Udit Narayan, Sadhana Sargam",0.8,0.7,BOLLYWOOD_ROMANTIC
hindi_Kabhi_Kabhi_Aditi,Hindi,Rashid Ali,0.7,0.8,BOLLYWOOD_POP
hindi_Chand_Sifarish,Hindi,"Shaan, Kailash Kher",0.5,0.6,BOLLYWOOD_ROMANTIC
english_As_It_Was,English,Harry Styles,0.8,0.7,POP
english_Sunset_Lover,English,Petit Biscuit,0.7,0.6,POP
english_Dancing_With_A_Stranger,English,"Sam Smith, Normani",0.6,0.7,POP
english_Levitating,English,Dua Lipa,0.8,0.8,POP
english_Good_4_U,English,Olivia Rodrigo,0.9,0.9,ROCK
english_Bad_Habits,English,Ed Sheeran,0.7,0.8,POP
english_Industry_Baby,English,"Lil Nas X, Jack Harlow",0.8,0.9,HIP_HOP
english_Stay,English,"The Kid LAROI, Justin Bieber",0.8,0.9,POP
english_Circles,English,Post Malone,0.6,0.5,ROCK
english_Sunflower,English,"Post Malone, Swae Lee",0.7,0.6,POP
english_Sapphire,English,Ed Sheeran ft. Arijit Singh,0.9,0.8,POP
english_My_Only_Angel,English,Aerosmith & YUNGBLUD,0.9,0.9,POP
english_Messy,English,Lola Young,0.6,0.7,POP
english_Children_of_the_Baked_Potato,English,Thundercat ft. Remi Wolf,0.8,0.7,ROCK
english_My_Love,English,Leigh-Anne ft. Ayra Starr,0.8,0.7,POP
english_We_Pray,English,"Coldplay ft. Little Simz, Burna Boy, Elyanna, and Tini",0.9,0.8,POP
english_Moonlight,English,Kali Uchis,0.8,0.8,RNB_SOUL
english_Miracle,English,Calvin Harris & Ellie Goulding,0.9,0.9,POP
english_Labour,English,Paris Paloma,0.7,0.7,ALTERNATIVE
"english_You'll_be_OK,_Kid",English,Demi Lovato,0.8,0.8,POP
english_Vampire,English,Olivia Rodrigo,0.9,0.9,ROCK
english_Bubble_Gum,English,NewJeans,0.8,0.7,POP
hindi_Kesariya,Hindi,Arijit Singh,0.9,0.6,BOLLYWOOD_ROMANTIC
hindi_Deva_Deva,Hindi,"Arijit Singh, Jonita Gandhi",0.8,0.7,BOLLYWOOD_CLASSICAL
hindi_Manike,Hindi,"Jubin Nautiyal, Yohani",0.75,0.8,BOLLYWOOD_POP
hindi_Pasoori,Hindi,"Shae Gill, Ali Sethi",0.6,0.5,COUNTRY_FOLK
hindi_Oo_Antava_Oo_Oo_Antava,Hindi,Indravathi Chauhan,0.85,0.9,BOLLYWOOD_POP
hindi_Naatu_Naatu,Hindi,"Rahul Sipligunj, Kaala Bhairava",0.9,0.95,BOLLYWOOD_FOLK
hindi_Jhoome_Jo_Pathaan,Hindi,"Arijit Singh, Sukriti Kakar",0.85,0.8,BOLLYWOOD_POP
hindi_Maan_Meri_Jaan,Hindi,King,0.7,0.6,BOLLYWOOD_POP
hindi_Chaleya,Hindi,"Arijit Singh, Shilpa Rao",0.8,0.5,BOLLYWOOD_ROMANTIC
english_Rich_Flex,English,Drake & 21 Savage,0.6,0.8,HIP_HOP
english_Last_Night,English,Morgan Wallen,0.7,0.6,COUNTRY_FOLK
english_Kill_Bill,English,SZA,0.5,0.6,RNB_SOUL
english_Cruel_Summer,English,Taylor Swift,0.85,0.75,POP
english_Sure_Thing,English,Miguel,0.7,0.5,RNB_SOUL
english_What_Was_I_Made_For,English,Billie Eilish,0.2,0.2,POP
english_About_Damn_Time,English,Lizzo,0.95,0.9,POP
english_Anti-Hero,English,Taylor Swift,0.55,0.45,POP
english_Unholy,English,"Sam Smith, Kim Petras",0.6,0.85,POP
english_Calm_Down,English,"Rema, Selena Gomez",0.9,0.75,POP
english_Creepin',English,"Metro Boomin, The Weeknd, 21 Savage",0.3,0.6,RNB_SOUL
english_Escapism.,English,"RAYE, 070 Shake",0.35,0.75,RNB_SOUL
english_I'm_Good_(Blue),English,"David Guetta, Bebe Rexha",0.95,0.9,POP
hindi_Param_Sundari,Hindi,Shreya Ghoshal,0.9,0.8,BOLLYWOOD_POP
hindi_Raataan_Lambiyan,Hindi,"Jubin Nautiyal, Asees Kaur",0.8,0.5,BOLLYWOOD_ROMANTIC
english_Flowers,English,Miley Cyrus,0.8,0.6,POP
english_Die_For_You,English,"The Weeknd, Ariana Grande",0.4,0.55,RNB_SOUL
english_Made_You_Look,English,Meghan Trainor,0.9,0.8,POP
english_Under_The_Influence,English,Chris Brown,0.7,0.75,RNB_SOUL
english_Celestial,English,Ed Sheeran,0.8,0.65,ROCK
english_Forget_Me,English,Lewis Capaldi,0.25,0.35,ROCK
english_Bad_Decisions,English,"Benny Blanco, BTS, Snoop Dogg",0.75,0.7,ROCK
english_Victoria’s_Secret,English,JAX,0.7,0.6,POP
hindi_Nadiyon_Paar_(Let_the_Music_Play_Again),Hindi,"Shamur, Rashmeet Kaur, IP Singh, Sachin-Jigar",0.9,0.9,BOLLYWOOD_POP
hindi_Ranjha,Hindi,"B Praak, Jasleen Royal",0.5,0.4,BOLLYWOOD_ROMANTIC
hindi_Meri_Jaan,Hindi,Neeti Mohan,0.75,0.5,BOLLYWOOD_POP
hindi_Dhokha,Hindi,Arijit Singh,0.25,0.5,BOLLYWOOD_POP
hindi_Jab_Saiyaan,Hindi,Shreya Ghoshal,0.8,0.6,BOLLYWOOD_FOLK
hindi_Bhool_Bhulaiyaa_2_Title_Track,Hindi,Neeraj Shridhar,0.85,0.9,BOLLYWOOD_POP
english_Dynamite,English,BTS,0.9,0.8,POP
english_Old_Town_Road,English,Lil Nas X ft. Billy Ray Cyrus,0.8,0.8,HIP_HOP
english_Positions,English,Ariana Grande,0.7,0.6,RNB_SOUL
english_Memories,English,Maroon 5,0.6,0.4,POP
english_Watermelon_Sugar,English,Harry Styles,0.9,0.7,POP
english_Lovely,English,"Billie Eilish, Khalid",0.6,0.5,ALTERNATIVE
english_Goosebumps,English,Travis Scott,0.7,0.8,HIP_HOP
english_Mood,English,24kGoldn ft. Iann Dior,0.8,0.8,POP
english_Therefore_I_Am,English,Billie Eilish,0.7,0.6,ALTERNATIVE
english_Willow,English,Taylor Swift,0.7,0.6,COUNTRY_FOLK
english_Leave_The_Door_Open,English,Silk Sonic,0.9,0.8,RNB_SOUL
english_Kiss_Me_More,English,Doja Cat ft. SZA,0.9,0.8,POP
hindi_Dil_Bechara,Hindi,A.R. Rahman,0.9,0.9,BOLLYWOOD_ROMANTIC
hindi_Duniyaa,Hindi,"Akhil, Dhvani Bhanushali",0.8,0.8,BOLLYWOOD_ROMANTIC
hindi_Hawayein,Hindi,Arijit Singh,0.9,0.9,BOLLYWOOD_ROMANTIC
hindi_O_Saki_Saki,Hindi,"Neha Kakkar, Tulsi Kumar",0.8,0.8,BOLLYWOOD_POP
english_Save_Your_Tears,English,The Weeknd,0.5,0.4,POP
english_Senorita,English,"Shawn Mendes, Camila Cabello",0.7,0.6,POP
english_Butter,English,BTS,0.9,0.85,POP
english_drivers_license,English,Olivia Rodrigo,0.2,0.3,POP
english_Peaches,English,"Justin Bieber ft. Daniel Caesar, Giveon",0.7,0.5,RNB_SOUL
english_Shivers,English,Ed Sheeran,0.85,0.8,POP
english_Sweet_But_Psycho,English,Ava Max,0.8,0.85,POP
english_Adore_You,English,Harry Styles,0.8,0.7,POP
english_Cold_Heart_(PNAU_Remix),English,Elton John & Dua Lipa,0.85,0.75,POP
english_Heat_Waves,English,Glass Animals,0.6,0.5,POP
english_Happier_Than_Ever,English,Billie Eilish,0.3,0.4,ALTERNATIVE
english_Montero_(Call_Me_By_Your_Name),English,Lil Nas X,0.7,0.8,POP
english_Permission_to_Dance,English,BTS,0.95,0.85,POP
english_You_Right,English,"Doja Cat, The Weeknd",0.6,0.7,RNB_SOUL
english_Woman,English,Doja Cat,0.8,0.7,POP
english_Fancy_Like,English,Walker Hayes,0.8,0.7,COUNTRY_FOLK
english_Billie_Eilish.,English,Armani White,0.85,0.9,ALTERNATIVE
english_Abracadabra,English,Lady Gaga,0.85,0.9,POP
english_Something_Beautiful,English,Miley Cyrus,0.8,0.7,ROCK
english_Luther,English,Kendrick Lamar ft. SZA,0.7,0.65,RNB_SOUL
english_Born_Again,English,Lisa ft. Doja Cat and Raye,0.88,0.85,ROCK
english_Twilight_Zone,English,Ariana Grande,0.75,0.8,POP
english_Soft_Girl_Era,English,Ari Lennox,0.7,0.6,POP
english_Physical,English,Dua Lipa ft. Troye Sivan,0.85,0.9,POP
english_APT.,English,Rosé & Bruno Mars,0.8,0.85,POP
english_Ordinary,English,Alex Warren,0.75,0.7,POP
english_Havana,English,Camila Cabello ft. Young Thug,0.85,0.8,POP
english_Before_He_Cheats,English,Carrie Underwood,0.7,0.65,COUNTRY_FOLK
english_Say_So,English,Doja Cat,0.8,0.75,POP
english_Savage_Love,English,Jawsh 685 & Jason Derulo,0.8,0.8,POP
english_Truth_Hurts,English,Lizzo,0.75,0.85,HIP_HOP
english_Electric_Love,English,BØRNS,0.85,0.8,POP
english_Feel_It_Still,English,Portugal. The Man,0.9,0.85,ALTERNATIVE
english_Kings_&_Queens,English,Ava Max,0.85,0.8,POP
english_Don’t_Go_Yet,English,Camila Cabello,0.75,0.85,POP
english_Shut_Up_and_Dance,English,Walk the Moon,0.9,0.85,POP
english_Smooth,English,Santana ft. Rob Thomas,0.9,0.85,ROCK
english_Don’t_Stop_Believin’,English,Journey,0.9,0.85,ROCK
english_Drops_of_Jupiter,English,Train,0.7,0.6,ROCK
english_Rock_Your_Body,English,Justin Timberlake,0.85,0.9,POP
english_My_Heart_Will_Go_On,English,Celine Dion,0.4,0.5,POP
english_Because_You_Loved_Me,English,Celine Dion,0.55,0.5,POP
english_Crazy_in_Love,English,Beyoncé ft. Jay-Z,0.9,0.9,RNB_SOUL
english_Un-break_My_Heart,English,Toni Braxton,0.35,0.45,POP
english_You’re_Beautiful,English,James Blunt,0.5,0.4,POP
english_It’s_My_Life,English,Bon Jovi,0.8,0.85,ROCK
english_Complicated,English,Avril Lavigne,0.75,0.7,ROCK
english_God_Only_Knows,English,The Beach Boys,0.75,0.6,POP
english_Hallelujah,English,Leonard Cohen,0.65,0.5,COUNTRY_FOLK
english_Old_Time_Rock_and_Roll,English,Bob Seger,0.8,0.7,ROCK
english_Kiss_from_a_Rose,English,Seal,0.78,0.6,ROCK
english_Unchained_Melody,English,The Righteous Brothers,0.75,0.4,POP
english_Wonderful_Tonight,English,Eric Clapton,0.82,0.3,ROCK
english_Have_I_Told_You_Lately,English,Van Morrison,0.9,0.3,ROCK
english_Your_Song,English,Elton John,0.88,0.35,POP
english_Something,English,The Beatles,0.85,0.5,ROCK
english_Unforgettable,English,Nat King Cole,0.9,0.35,POP
english_Just_the_Way_You_Are,English,Bruno Mars,0.9,0.5,POP
hindi_Pyar_Hua_Ikrar_Hua,Hindi,Lata Mangeshkar & Manna Dey,0.9,0.3,BOLLYWOOD_ROMANTIC
english_Black_Dog,English,Led Zeppelin,0.6,0.9,ROCK
english_Get_Lucky,English,Daft Punk ft. Pharrell Williams,0.95,0.85,POP
english_Go_Your_Own_Way,English,Fleetwood Mac,0.85,0.8,ROCK
english_Billie_Jean,English,Michael Jackson,0.9,0.8,POP
english_Zombie,English,The Cranberries,0.25,0.75,ALTERNATIVE
english_Firestarter,English,The Prodigy,0.6,0.95,EDM
english_Dreams,English,Fleetwood Mac,0.8,0.7,ROCK
english_Heroes,English,David Bowie,0.85,0.7,ROCK
english_Smooth_Criminal,English,Michael Jackson,0.9,0.9,POP
english_Enter_Sandman,English,Metallica,0.7,0.95,METAL
english_It_Was_a_Good_Day,English,Ice Cube,0.7,0.4,HIP_HOP
english_Thriller,English,Michael Jackson,0.8,0.95,POP
english_Sultans_of_Swing,English,Dire Straits,0.75,0.75,ROCK
english_The_Ocean,English,Led Zeppelin,0.75,0.85,ALTERNATIVE
english_Paradise,English,Coldplay,0.8,0.65,ROCK
english_Superstition,English,Stevie Wonder,0.8,0.75,POP
english_Respect,English,Aretha Franklin,0.85,0.65,RNB_SOUL
english_Crazy,English,Gnarls Barkley,0.7,0.5,ALTERNATIVE
english_Runaway,English,Kanye West,0.5,0.3,ROCK
english_Jump,English,Van Halen,0.9,0.95,ROCK
english_No_Scrubs,English,TLC,0.75,0.7,RNB_SOUL
english_Love_Shack,English,The B-52s,0.8,0.85,POP
english_Under_the_Bridge,English,Red Hot Chili Peppers,0.6,0.5,ALTERNATIVE
english_Sweet_Child_o'_Mine,English,Guns N' Roses,0.9,0.85,ROCK
english_I_Want_to_Break_Free,English,Queen,0.85,0.8,ROCK
english_Take_Me_to_Church,English,Hozier,0.7,0.6,ALTERNATIVE
english_Hotline_Bling,English,Drake,0.75,0.7,RNB_SOUL
english_Light_My_Fire,English,The Doors,0.85,0.9,ROCK
english_I_Bet_You_Look_Good_on_the_Dancefloor,English,Arctic Monkeys,0.85,0.8,ALTERNATIVE
english_Dog_Days_Are_Over,English,Florence + The Machine,0.95,0.9,ALTERNATIVE
english_Beautiful_Day,English,U2,0.95,0.8,ROCK
english_Blue_Monday,English,New Order,0.75,0.85,POP
english_One,English,Metallica,0.5,0.8,ROCK
"english_Harder,_Better,_Faster,_Stronger",English,Daft Punk,0.85,0.9,EDM
english_Sabotage,English,Beastie Boys,0.85,0.95,HIP_HOP
english_Blue_in_Green,English,Miles Davis,0.35,0.25,JAZZ
english_London_Calling,English,The Clash,0.8,0.85,ROCK
english_Landslide,English,Fleetwood Mac,0.6,0.5,COUNTRY_FOLK
english_Mrs._Robinson,English,Simon & Garfunkel,0.85,0.65,COUNTRY_FOLK
english_Walk_on_the_Wild_Side,English,Lou Reed,0.7,0.6,ROCK
english_I_Want_to_Hold_Your_Hand,English,The Beatles,0.9,0.8,ROCK
english_Stand_by_Me,English,Ben E. King,0.85,0.6,RNB_SOUL
english_A_Whiter_Shade_of_Pale,English,Procol Harum,0.8,0.55,ROCK
english_Yesterday,English,The Beatles,0.85,0.65,POP
english_Brown_Eyed_Girl,English,Van Morrison,0.75,0.8,COUNTRY_FOLK
english_Rocket_Man,English,Elton John,0.7,0.6,ROCK
english_Don't_Stop_Believin',English,Journey,0.95,0.8,ROCK
english_Johnny_B._Goode,English,Chuck Berry,0.9,0.9,ROCK
english_Hotel_California,English,Eagles,0.75,0.6,ROCK
"english_Take_Me_Home,_Country_Roads",English,John Denver,0.8,0.7,COUNTRY_FOLK
english_Sweet_Caroline,English,Neil Diamond,0.85,0.65,POP
english_Sweet_Home_Alabama,English,Lynyrd Skynyrd,0.8,0.75,ROCK
english_Don't_Stop_Me_Now,English,Queen,0.95,0.9,ROCK
english_Waterloo_Sunset,English,The Kinks,0.7,0.5,POP
english_Born_to_Run,English,Bruce Springsteen,0.8,0.85,ROCK
english_Dancing_Queen,English,ABBA,0.85,0.8,POP
english_Be_My_Baby,English,The Ronettes,0.85,0.7,POP
english_Don't_Stop,English,Fleetwood Mac,0.88,0.82,POP
english_Let_It_Go,English,James Bay,0.7,0.8,POP
