song_id,language,singer,valence,arousal,genre,main_genre
english_Fast_Car,English,Tracy Chapman,0.59,0.5,Folk Rock,Rock
english_XTRA,English,Five Star Hotel,0.41,0.77,electronic,Electronic
english_Suite_Patagonia,English,Bruno Sanfilippo,0.25,0.26,classical,Classical
"english_1,_2_Step",English,Ciara,0.96,0.9,R&B,R&B
english_Valle_de_la_Luna,English,Klaus Schulze,0.34,0.28,electronic,Electronic
english_Follow_You_to_Virgie,English,Tyler Childers,0.45,0.4,Country Folk,Country
english_Owner_of_a_Lonely_Heart,English,Yes,0.88,0.86,Rock,Rock
english_Dark_Veil,English,Blasterhead,0.41,0.77,electronic,Electronic
english_American_Pie,English,Don McLean,0.34,0.54,Rock,Rock
english_Exchange,English,Bryson Tiller,0.7,0.75,R&B,R&B
english_Touch_the_Sky_Remix,English,Kanye West,0.88,0.9,Hip-Hop,Hip-Hop
english_Such_Great_Heights,English,The Section Quartet,0.78,0.41,classical,Classical
english_She_Got_the_Best_of_Me,English,Luke Combs,0.9,0.74,Country,Country
hindi_Mohe_Bhool_Gaye_Sanwariya_(HD),Hindi,Lata Mangeshkar,0.56,0.43,Semi-Classical,Classical
english_But_Not_for_Me,English,Chet Baker,0.86,0.34,Jazz Vocal,Jazz
english_Little_Bitty,English,Alan Jackson,0.82,0.7,Country,Country
english_A_Long_December,English,Counting Crows,0.63,0.42,Rock,Rock
english_Speedball,English,John Zorn,0.36,0.81,Jazz,Jazz
english_Cut_to_the_Feeling,English,Carly Rae Jepsen,0.94,0.88,Pop,Pop
english_So_Anxious_(Remix),English,Ginuwine,0.88,0.78,R&B,R&B
english_Starting_Over,English,Chris Stapleton,0.73,0.72,Country,Country
english_Hard_to_Handle,English,The Black Crowes,0.7,0.8,Blues Rock,Rock
english_Do_You_Want_To_Go_To_Space_Young_Man,English,Skywatchers,0.69,0.48,electronic,Electronic
english_Sleep_on_the_Floor,English,The Lumineers,0.9,0.8,Pop,Pop
english_The_One_I_Love,English,R.E.M.,0.79,0.66,Rock,Rock
english_Bartender,English,Lady A,0.44,0.57,Country,Country
english_Murderation,English,Logistics,0.6,0.76,electronic,Electronic
english_Gush,English,Maria Schneider Orchestra,0.54,0.42,Jazz,Jazz
english_It's_Five_O'Clock_Somewhere,English,Alan Jackson,0.32,0.47,Country,Country
english_Did_It_On'em,English,Nicki Minaj,0.89,0.84,Hip-Hop,Hip-Hop
english_Graduale,English,Aeternitas,0.48,0.42,classical,Classical
english_Bubblebath,English,Simply Put,0.27,0.33,Jazz,Jazz
english_Someday_My_Prince_Will_Come,English,Miles Davis,0.45,0.35,Jazz Standard,Jazz
english_Hurricane,English,Luke Combs,0.62,0.72,Country,Country
english_Lush_Life,English,Billy Strayhorn,0.62,0.7,Jazz Ballad,Jazz
english_Play_the_Game_Tonight,English,Kansas,0.9,0.84,Rock,Rock
english_I_Get_Around,English,2Pac,0.88,0.82,Hip-Hop,Hip-Hop
english_Peace,English,Desert Island Dicks,0.43,0.57,Jazz,Jazz
english_Like_a_Rolling_Stone,English,Bob Dylan,0.73,0.6,Folk Rock,Rock
english_Bones,English,Imagine Dragons,0.81,0.63,Pop,Pop
english_Cosmic_ascension,English,Astral Projection,0.62,0.59,electronic,Electronic
english_Ice_Water,English,Raekwon,0.56,0.45,Hip-Hop,Hip-Hop
english_Harbingers,English,Cisfinitum,0.41,0.77,electronic,Electronic
punjabi_Sohnea,Punjabi,Millind Gaba,0.7,0.65,Punjabi Folk Pop,Country
english_Big_Bang_Baby,English,Stone Temple Pilots,0.88,0.9,Rock,Rock
english_Fertile_Field,English,Bobby McFerrin,0.85,0.61,Jazz,Jazz
english_Don't_Start_Now,English,Dua Lipa,0.91,0.85,Pop,Pop
english_Kryptonite,English,Big Boi,0.69,0.44,Hip-Hop,Hip-Hop
english_Roundabout,English,Yes,0.84,0.84,Rock,Rock
english_Hummel_–_Trumpet_Concerto_in_E,English,Johann Nepomuk Hummel,0.88,0.74,Classical,Classical
english_Silberstreif,English,Michael Rother,0.34,0.28,electronic,Electronic
english_Sonata_in_D_major_KV_576,English,Andreas Haefliger,0.88,0.58,classical,Classical
"english_Save_a_Horse,_Ride_a_Cowboy",English,Big & Rich,0.8,0.88,Country Rock,Country
english_It's_Karma_Bitch,English,Anjulie,0.58,0.63,Jazz,Jazz
english_Children_of_the_Grave,English,Black Sabbath,0.5,0.55,Rock,Rock
english_Bye_Bye,English,Jo Dee Messina,0.8,0.76,Country,Country
english_Pictures_of_Space,English,The Age of Rockets,0.5,0.42,electronic,Electronic
hindi_Tu_Hi_Mera,Hindi,Shafqat Amanat Ali,0.47,0.41,Indian Film Sufi Ballad,Classical
english_Sex_on_Fire,English,Kings of Leon,0.88,0.84,Alternative Rock,Rock
english_Umbrella_Beach,English,Owl City,0.91,0.71,Pop,Pop
english_Knock_You_Down,English,Keri Hilson,0.89,0.76,R&B,R&B
english_Stronger,English,Kanye West,0.67,0.4,Electronic Dance Pop,Electronic
english_De_Drums,English,Jarek Śmietana & Wojtek Karolak,0.42,0.57,Jazz,Jazz
english_Flat_Foot_Floogie,English,Slim Gaillard,0.79,0.66,Jazz,Jazz
english_Sub_Morphing,English,Aes Dana,0.34,0.28,electronic,Electronic
english_R_U_Mine,English,Arctic Monkeys,0.7,0.8,Alternative Rock,Rock
english_Delibes_–_Coppélia_Waltz,English,Léo Delibes,0.86,0.66,Classical,Classical
english_Wasted_Years,English,Iron Maiden,0.5,0.47,Rock,Rock
english_Allegro_-_Allegro,English,Arcangelo Corelli,0.84,0.84,classical,Classical
english_Nose_on_the_Grindstone,English,Tyler Childers,0.35,0.3,Country Folk,Country
english_Ghosts_n_Stuff,English,Deadmau5,0.65,0.9,Electro House,Electronic
english_Young_Dumb_&_Broke,English,Khalid,0.94,0.84,R&B,R&B
english_Biotrip,English,Pete Namlook & Tetsu Inoue,0.63,0.36,electronic,Electronic
english_Take_It_Easy,English,Eagles,0.4,0.49,Roots Rock,Country
english_Agnus_Dei,English,Arvo Pärt,0.54,0.59,classical,Classical
english_Their_Law_(Featuring_Pop_Will_Eat_Itself),English,The Prodigy,0.3,0.85,electronic,Electronic
english_City_Theme,English,Vanessa-Mae,0.76,0.74,classical,Classical
hindi_Sun_Saathiya,Hindi,Priya Saraiya & Divya Kumar,0.75,0.4,Indian Film Romantic Ballad,Pop
english_Lady_May,English,Tyler Childers,0.63,0.68,Country Folk,Country
english_Three_Little_Birds,English,Bob Marley & The Wailers,0.88,0.63,Reggae,R&B
english_Crawling,English,Linkin Park,0.5,0.79,Rock,Rock
english_Europa,English,Santana,0.66,0.55,Rock,Rock
english_Bell_Bottom_Blues,English,Derek and the Dominos,0.84,0.76,Rock,Rock
english_Arlington,English,Trace Adkins,0.48,0.42,Patriotic Country,Country
english_Pep_Rally,English,Missy Elliott,0.86,0.88,Hip-Hop,Hip-Hop
english_Slow_Motion,English,Juvenile,0.62,0.51,Hip-Hop,Hip-Hop
english_Sphere,English,John Frusciante,0.36,0.81,electronic,Electronic
english_Rather_Die_Young,English,Beyoncé,0.87,0.77,Electronic Pop,Electronic
english_How_Deep_Is_Your_Love,English,Bee Gees,0.84,0.6,Blue-Eyed Soul,R&B
english_Forever,English,Drake,0.79,0.7,Hip-Hop,Hip-Hop
english_batman_dancefloor,English,Nebulo,0.24,0.46,electronic,Electronic
english_Punch_up_at_a_wedding,English,Radiohead,0.79,0.87,electronic,Electronic
english_Real_Solution_#9_[Mambo_Mania_Mix],English,White Zombie,0.36,0.81,electronic,Electronic
english_Down_in_a_Hole,English,Alice in Chains,0.74,0.7,Rock,Rock
english_Step_in_the_Name_of_Love,English,R. Kelly,0.5,0.79,R&B,R&B
english_The_Show_Goes_On,English,Lupe Fiasco,0.61,0.91,Alternative Hip-Hop,Hip-Hop
english_Womanizer,English,Britney Spears,0.89,0.83,Pop,Pop
english_Puccini_–_Nessun_Dorma,English,Giacomo Puccini,0.7,0.66,Classical,Classical
english_I_Could_Not_Ask_for_More,English,Sara Evans,0.76,0.57,Country,Country
english_Halfcrazy,English,Musiq Soulchild,0.9,0.74,R&B,R&B
english_Tennessee,English,The Wreckers,0.82,0.52,Country,Country
english_Break_Up_in_a_Small_Town,English,Sam Hunt,0.9,0.78,Country,Country
english_Human,English,Rag'n'Bone Man,0.53,0.78,Alternative Rock,Rock
english_Will,English,Terje Rypdal,0.27,0.67,Jazz,Jazz
english_So_Many_Tears,English,2Pac,0.7,0.52,Hip-Hop,Hip-Hop
english_I_Wanna_Get_Married,English,Nellie McKay,0.8,0.58,Jazz,Jazz
english_The_Swan,English,Camille Saint-Saëns,0.56,0.32,Classical,Classical
english_Hate,English,Cerebrum Vortex,0.46,0.8,electronic,Electronic
english_You_Turn_Me_On,English,Labelle,0.78,0.96,R&B,R&B
english_Lay_Me_Down,English,Sam Smith,0.71,0.51,R&B,R&B
english_Ride,English,Chable & Bonnici,0.6,0.76,electronic,Electronic
english_Mao_Tse_Tung_Said,English,Alabama 3,0.68,0.69,Electronic,Electronic
english_Cobalto_Azul,English,Jyoji,0.72,0.63,Electronic,Electronic
english_Little_Dark_Age,English,MGMT,0.72,0.8,Pop,Pop
english_Call_Me_Maybe,English,Carly Rae Jepsen,0.96,0.84,Pop,Pop
english_Somewhere_with_You,English,Kenny Chesney,0.9,0.72,Country,Country
punjabi_3_Peg,Punjabi,Sharry Mann,0.8,0.85,Punjabi Folk Dance,Country
english_Changes,English,2Pac,0.3,0.46,Hip-Hop,Hip-Hop
english_Rock_Superstar,English,Cypress Hill,0.65,0.85,Rap Rock,Hip-Hop
english_Hit_'Em_Up,English,2Pac,0.77,0.59,Hip-Hop,Hip-Hop
english_Cold_Heart_(PNAU_Remix),English,Elton John & Dua Lipa,0.85,0.75,Dance Pop,Pop
"english_Prelude_(Lohengrin,_Act_1)",English,Herbert von Karajan,0.82,0.59,classical,Classical
english_Saeglópur,English,Sigur Rós,0.68,0.64,electronic,Electronic
english_Sexy_Love,English,Ne-Yo,0.87,0.76,R&B,R&B
english_Dancing_With_A_Stranger,English,"Sam Smith, Normani",0.6,0.7,Dance Pop,Pop
english_The_Boy_Is_Mine,English,Brandy,0.88,0.78,R&B,R&B
english_Don't_You_Want_Me,English,The Human League,0.6,0.46,Synth Pop,Pop
english_Times_Like_These,English,Foo Fighters,0.67,0.43,Rock,Rock
hindi_Raabta,Hindi,Arijit Singh,0.85,0.5,Indian Film Romantic Ballad,Pop
english_Scenario,English,A Tribe Called Quest,0.76,0.85,Hip-Hop,Hip-Hop
english_Wayfearing_Stranger,English,Jimmy Kelly,0.82,0.56,Jazz,Jazz
english_Adventure_of_a_Lifetime,English,Coldplay,0.91,0.74,Pop,Pop
english_Walk_Away,English,Kelly Clarkson,0.47,0.78,Pop,Pop
english_Piosenka_dla_Stasia,English,Anna Maria Jopek & Friends with Pat Metheny,0.66,0.46,Jazz,Jazz
english_Can't_Bring_You_Back,English,The Reds,0.53,0.56,Electronic,Electronic
english_Time_Bomb,English,Overrider,0.6,0.76,electronic,Electronic
english_Cantus_in_Memory_of_Benjamin_Britten_for_Strings_and_Bells,English,Arvo Pärt,0.82,0.69,classical,Classical
english_Crazy_in_Love,English,Beyoncé ft. Jay-Z,0.75,0.46,R&B Pop,R&B
english_Stronger_(What_Doesn't_Kill_You),English,Kelly Clarkson,0.7,0.85,Dance Pop,Pop
english_My_One_and_Only_Love,English,John Coltrane & Johnny Hartman,0.34,0.25,Jazz Ballad,Jazz
english_The_Gambler,English,Kenny Rogers,0.91,0.68,Country Folk,Country
english_The_Shinein,English,Skream,0.42,0.6,electronic,Electronic
english_Roar,English,Katy Perry,0.76,0.72,Pop Anthem,Pop
english_Stacy's_Mom,English,Fountains of Wayne,0.93,0.79,Pop,Pop
english_Breathe_Me_(Acoustic),English,Sia,0.27,0.36,Ambient Pop,Pop
english_1866_Suppe_Light_Cavalry-Overture,English,1866 Suppe: Light Cavalry-Overture,0.77,0.64,classical,Classical
english_From_This_Moment_On,English,Shania Twain,0.63,0.41,Country,Country
english_adagiosonata_for_flute_+_keyboard_in_b_min_op1_no9,English,Georg Friedrich Händel,0.83,0.61,classical,Classical
english_Burnin'_for_You,English,Blue Oyster Cult,0.32,0.4,Rock,Rock
english_Rolling_in_the_Deep,English,Adele,0.2,0.7,Soul Pop,R&B
english_In_a_Different_Light,English,Doug Stone,0.56,0.29,Country,Country
english_As_one,English,Shikata,0.67,0.68,Jazz,Jazz
english_Ocean_Drive,English,Duke Dumont,0.8,0.56,Progressive House,Electronic
english_Rancid,English,Breakbeat Era,0.36,0.81,electronic,Electronic
hindi_Piya_Milan,Hindi,Traditional,0.49,0.36,Semi-Classical,Classical
hindi_Jiya_Dhadak_Dhadak_Jaye,Hindi,Rahat Fateh Ali Khan,0.48,0.42,Indian Film Sufi Ballad,Classical
english_Bad_Liar,English,Imagine Dragons,0.58,0.68,Electronic Pop,Electronic
english_Kaboom_(feat_Kalenna),English,Lady Gaga,0.47,0.78,electronic,Electronic
english_Nice_Guys,English,Art Ensemble Of Chicago,0.39,0.34,Jazz,Jazz
english_Last_Resort,English,Papa Roach,0.89,0.77,Rap Metal,Hip-Hop
english_Canon,English,Justice,0.67,0.91,electronic,Electronic
english_Aurora,English,Mike Oldfield,0.54,0.5,classical,Classical
english_Rather_Be,English,Clean Bandit ft. Jess Glynne,0.85,0.8,Electronic Dance Pop,Electronic
english_The_Drop,English,Gammer,0.47,0.6,EDM Trap,Electronic
english_Strobelite_Honey,English,Black Sheep,0.8,0.82,Hip-Hop,Hip-Hop
english_Love_Again,English,Dua Lipa,0.51,0.64,Electronic Pop,Electronic
english_Biscuits,English,Kacey Musgraves,0.51,0.59,Country,Country
english_Hands_to_Myself,English,Selena Gomez,0.88,0.92,Pop,Pop
english_What_a_Fool_Believes,English,Matt Bianco,0.75,0.71,Soft Rock,Rock
"english_Jesus,_Take_the_Wheel",English,Carrie Underwood,0.55,0.3,Country Pop,Country
english_Chun-Li,English,Nicki Minaj,0.78,0.88,Hip-Hop,Hip-Hop
"english_Concerto_no._4_in_F_major,__HWV_292_Adagio",English,Sonnerie,0.22,0.28,classical,Classical
english_Lucid_Dreams,English,Juice WRLD,0.75,0.49,Pop Rap,Hip-Hop
english_Teenage_Dirtbag,English,Wheatus,0.92,0.74,Pop,Pop
english_Higher_Love,English,Kygo & Whitney Houston,0.72,0.68,Progressive House,Electronic
english_Jazz_(We've_Got),English,A Tribe Called Quest,0.74,0.52,Jazz Rap,Jazz
english_Colombia,English,Anjulie,0.86,0.78,Jazz,Jazz
english_Lost,English,Elyzium,0.38,0.79,Electronic,Electronic
english_Something_in_the_Orange,English,Zach Bryan,0.35,0.45,Country Folk,Country
english_Wheelz_of_Steel,English,OutKast,0.7,0.51,Hip-Hop,Hip-Hop
english_Remember_When,English,Alan Jackson,0.79,0.6,Country,Country
english_Be_the_One,English,Dua Lipa,0.43,0.66,Pop,Pop
english_Três_Lados,English,Skank,0.81,0.23,pop,Pop
english_Lightwaves,English,Electric Skychurch,0.6,0.49,electronic,Electronic
english_overworld_theme,English,Five Star Hotel,0.41,0.77,Electronic,Electronic
english_Money_for_Nothing,English,Dire Straits,0.43,0.64,Rock,Rock
english_鳳凰-Phoenix,English,Jazztronik,0.57,0.5,Jazz,Jazz
english_Getting_Nowhere,English,Roy Budd,0.62,0.58,Jazz,Jazz
english_By_Myself,English,Linkin Park,0.4,0.9,Rap Metal,Hip-Hop
hindi_Tera_Hone_Laga_Hoon,Hindi,Atif Aslam,0.9,0.6,Indian Film Romantic Ballad,Pop
hindi_Chura_Liya_Hai_Tumne_Jo_Dil_Ko,Hindi,"Asha Bhosle, Mohammed Rafi",0.6,0.5,Indian Film Romantic Ballad,Pop
english_Confusion_(Pump_Panel_Reconstruction),English,New Order,0.61,0.64,electronic,Electronic
english_What_We_Do,English,Freeway,0.85,0.63,Hip-Hop,Hip-Hop
english_Need_U_Bad,English,Jazmine Sullivan,0.82,0.57,R&B,R&B
english_New_Kid_in_Town,English,Eagles,0.88,0.7,Rock,Rock
english_Cool_It_Now,English,New Edition,0.94,0.84,R&B,R&B
english_Not_Giving_Up_on_Love,English,Armin van Buuren,0.53,0.58,Pop,Pop
english_Flowers,English,Miley Cyrus,0.49,0.42,Pop Rock,Rock
english_Luck,English,American Authors,0.71,0.74,Pop,Pop
punjabi_Mast_Qalandar,Punjabi,Nusrat Fateh Ali Khan,0.48,0.4,Sufi Devotional,Classical
english_So_Beautiful,English,Musiq Soulchild,0.91,0.74,Hip-Hop Soul,R&B
english_Church_(Remix_by_Secede),English,Kettel,0.61,0.48,electronic,Electronic
english_Believer,English,Imagine Dragons,0.6,0.45,Alternative Rock,Rock
english_American_You,English,Yelawolf,0.55,0.7,Country Rap,Hip-Hop
english_Lean_On,English,Major Lazer & DJ Snake,0.85,0.8,Tropical House,Electronic
english_Peaches,English,"Justin Bieber ft. Daniel Caesar, Giveon",0.89,0.72,R&B Pop,R&B
english_High_Hopes,English,Kodaline,0.93,0.76,Pop Rock,Rock
english_Perry_Mason_Theme,English,Buddy Morrow,0.33,0.49,Jazz,Jazz
english_Nookie,English,Limp Bizkit,0.55,0.85,Rap Rock,Hip-Hop
english_The_Bell_That_Couldn't_Jingle,English,Burt Bacharach,0.56,0.42,Jazz,Jazz
english_Lost_Stars,English,Adam Levine,0.35,0.4,Folk Pop,Pop
english_So_Anxious,English,Ginuwine,0.81,0.73,R&B,R&B
english_I_Hold_No_Grudge,English,Nina Simone,0.67,0.48,Jazz,Jazz
english_Ball_of_Confusion,English,The Temptations,0.55,0.75,Psychedelic Soul,R&B
english_Step_Swing,English,Lollo Meier,0.71,0.9,Jazz,Jazz
english_Oh_My_God,English,A Tribe Called Quest,0.65,0.48,Hip-Hop,Hip-Hop
english_Watermelon_Man,English,Herbie Hancock,0.79,0.39,Jazz Funk,Jazz
english_Would_You,English,Touch and Go,0.69,0.88,Jazz,Jazz
english_Emotional_Weather_Report,English,Tom Waits,0.46,0.54,Jazz,Jazz
english_Looking_At_My_Feet,English,Room Eleven,0.64,0.48,Jazz,Jazz
english_I_Have_Nothing,English,Whitney Houston,0.86,0.63,Soul Pop Ballad,R&B
english_Best_Day_of_My_Life,English,American Authors,0.94,0.77,Pop,Pop
english_Red_Dirt_Road,English,Brooks & Dunn,0.92,0.72,Country,Country
english_Post-Modern_Sleaze_(Flight_from_Nashville),English,Sneaker Pimps,0.46,0.74,electronic,Electronic
english_Look_at_Her_Now,English,Selena Gomez,0.74,0.69,Pop,Pop
